id,title,url,lat,long,state,city
{65202C4C-CA7D-42F7-868D-E77F6F8350D3},Swarthmore College Masters Swimming (SCMS),/clubs/swarthmore-college-masters-swimming-2734,39.906932,-75.3514659,PA,Swarthmore
{CA0F60EB-4750-47EF-9C37-A25C0C8C0018},Nor Cal Aquatics (NCA),/clubs/nor-cal-aquatics-2591,38.3176946,-122.3066769,CA,Napa
{239BE914-8476-4DAE-AE11-B437D535EF62},DART-Solano Masters (DARTS),/clubs/dart-solano-masters,38.2348856,-122.1236828,CA,Fairfield
{AF74D824-F390-4DC9-9F5C-DC29A6AACDA4},Gulf Coast Swim Team Masters (GCST),/clubs/gulf-coast-swim-team-masters-1453,26.4722052,-81.8150067,FL,Fort Myers
{C71D8AE4-C42E-4AE0-9D0C-754A26CC32B6},Surf City Aquatics Club (SCAC),/clubs/surf-city-aquatics-club-1956,33.6541897,-117.9709424,CA,Huntington Beach
{EBEE586C-AE1E-4DF6-A1BE-7127D3361257},Gulf Coast Pirate Swimmers (GCPS),/clubs/gulf-coast-pirate-swimmers-712,30.4783322,-87.1982074,FL,Pensacola
{3803C904-A1F8-4AEA-841B-683671E99D28},Nitro Swimming (NITR),/clubs/nitro-swimming-839,30.3165922,-97.97802089999999,TX,Bee Cave
{AFC19F8A-ACC6-47CB-830D-3003E7B0454B},Swamp Water Aquatics Gainesville (SWAG),/clubs/swamp-water-aquatics-gainesville,29.6618574,-82.3075724,FL,Gainesville
{5507F33F-4492-4A0E-A496-D1C2CCE2D385},North Hills Aquatics  (NHA),/clubs/north-hills-aquatics,40.5254536,-80.0261525,PA,Pittsburgh
{BEFDA70F-1985-415C-9F25-0C8D8FA51FC4},Tennessee Aquatics Masters Swimming (TNAQ),/clubs/tennessee-aquatics-masters-swimming-707,35.9491076,-83.936328,TN,Knoxville
{06FBAF87-1115-4D65-AC95-EC0AAFA86B16},Aquastar (AQSR),/clubs/aquastar,29.580116,-95.133918,TX,Houston
{D53C9913-023C-48A6-8C2F-053E0A8D6891},Train Daly (TDALY),/clubs/train-daly,40.7711041,-73.9897134,NY,New York
{2D68B98E-B1FF-4518-85B3-944E01ADAF52},Palm Beach Masters (PBM),/clubs/palm-beach-masters-1275,26.4891736,-80.0707575,FL,Delray Beach
{7CD1CED3-CB36-43BF-9686-FEC035FC47FB},QAC White Caps (QACAP),/clubs/qac-white-caps,39.03598199999999,-76.058798,MD,Centreville
{3751AFA6-C0C8-45FA-9DE6-2F1A08CDF4C1},Orem Masters Aquatic Club (OMAC),/clubs/orem-masters-aquatic-club,40.2951386,-111.7094785,UT,Orem
{BB5DFD47-4A7B-4A43-921D-7E828DA26D6D},North Bay Aquatics (NBA),/clubs/north-bay-aquatics-765,37.951889,-122.5491618,CA,Kentfield
{A3062DE3-A1A1-4BC9-8F1B-9359FC47CBD3},Bay Ridge Masters (BRAT),/clubs/bay-ridge-masters-1081,40.6272269,-74.03937599999999,NY,
{6F7726A6-D5CB-4DF3-88DF-862C4CD55861},Freedom Aquatic Club (FAFC),/clubs/freedom-aquatic-club,38.7555474,-77.5217416,VA,Manassas
{45886CC3-28E9-4F7A-A651-1E7112640CAA},Excelsior Springs Masters (ESCC),/clubs/excelsior-springs-masters,39.3465014,-94.244689,MO,Excelsior Springs
