"Abbr","Name","Women","Men","Total","Ind","Relays","Total","Women","Men","Combined"
"INAM","INW Y Aquatic Ma","1","0","1","6","0","6","0","0","0"
"IAMA","Iowa Masters","0","4","4","19","1","20","0","36","36"
"JACM","Jersey Aquatic C","2","3","5","20","0","20","11","25","36"
"JAM","Jersey Area Mast","0","2","2","12","0","12","0","55","55"
"JWM","Jersey Wahoos Ma","0","1","1","4","0","4","0","0","0"
"JMMS","Jim Montgomery M","1","0","1","4","0","4","16","0","16"
"KWMS","Key West Masters","0","2","2","3","0","3","0","0","0"
"KFAC","King Fins Aquati","5","1","6","34","2","36","130","29","159"
"KMMS","King Marlin Swim","1","1","2","7","0","7","0","0","0"
"KM","Kroc Masters","0","1","1","6","0","6","0","20","20"
"LVBN","La Verne Brewing","0","6","6","27","2","29","0","131","131"
"LAAM","Lafayette Area A","2","2","4","17","0","17","36","0","36"
"LSLP","Lakeshore Sport","0","1","1","4","0","4","0","5","5"
"LASH","Landshark Aquati","4","2","6","35","4","39","115","40","155"
"LVM","Las Vegas Master","2","1","3","13","0","13","60","0","60"
"LMMC","Lehi Masters Mor","4","0","4","10","1","11","2","0","2"
"LIB","Libertyville Mas","3","1","4","13","0","13","14","0","14"
"LT","Life Time","1","0","1","6","0","6","0","0","0"
"LT-AZ","Life Time Arizon","0","2","2","12","0","12","0","7","7"
"LTIAM","Life Time Iowa M","0","1","1","3","0","3","0","29","29"
"LTKOP","Life Time King o","0","2","2","6","0","6","0","0","0"
"LTFSE","Lifetime Swim So","0","1","1","5","0","5","0","0","0"
"LTDUB","LifeTime Swim-Du","12","1","13","54","4","58","104","0","104"
"LMAO","Lincoln Masters","0","1","1","3","0","3","0","0","0"
"LRM","Little Rock Mast","0","5","5","28","2","30","0","137","137"
"LOBO","Lobo Aquatic Clu","1","0","1","3","0","3","0","0","0"
"LSM","Lone Star Master","6","8","14","69","4","73","83","71","164"
"LBG","Long Beach Gruni","0","2","2","9","0","9","0","4","4"
"TXLA","Longhorn Aquatic","6","14","20","98","7","105","9","243","252"
"LOCO","Lowcountry Maste","3","3","6","21","0","21","28","2","30"
"LACG","Lynchburg Aquati","1","0","1","6","0","6","50","0","50"
"MATT","Madison Titans","3","2","5","23","0","23","6","0","6"
"MESC","Maine Masters Sw","2","1","3","14","0","14","53","44","97"
"MPC","Maitres Pointe-C","0","1","1","5","0","5","0","27","27"
"MAM","Manatee Aquatic","5","1","6","32","2","34","43","0","43"
"MAQ","Marin Aquatic Ma","1","0","1","3","0","3","0","0","0"
"DOGZ","Maroon Dogz Mast","0","4","4","15","2","17","0","6","6"
"MARY","Maryland Masters","1","2","3","17","0","17","6","32","38"
"MASH","Masters Aquatics","0","1","1","5","0","5","0","1","1"
"MOST","Masters of South","12","2","14","64","4","68","200","3","203"
"MSQC","Masters Swim Qua","3","0","3","15","0","15","7","0","7"
"MTM","Memphis Tiger Ma","1","0","1","5","0","5","22","0","22"
"MELO","Menlo Masters","3","0","3","18","0","18","101","0","101"
"MERR","Merritt Marlins","0","4","4","17","2","19","0","0","0"
"MMAC","Mesa Aquatics Cl","2","2","4","17","0","17","62","7","69"
"MCDA","Miami Country Da","0","1","1","2","0","2","0","0","0"
"MICH","Michigan Masters","49","51","100","442","39","481","584","578","1,325"
"MINQX","Michigan Queer A","0","1","1","5","0","5","0","2","2"
"MTSC","Middle TN Master","0","1","1","6","0","6","0","0","0"
"MSM","Middlesex Swimmi","1","0","1","6","0","6","26","0","26"
"SAMKM","Mighty Kroc Mast","1","1","2","6","0","6","0","0","0"
"MINN","Minnesota Master","17","28","45","203","18","221","326","297","701"
"MVN","Mission Viejo Ma","2","3","5","19","0","19","0","82","82"
"ANCM","Montgomery Ancie","0","1","1","6","0","6","0","0","0"
"MCF","Mount Carmel For","2","2","4","16","2","18","18","8","26"
"MOVY","MOVY Masters","10","16","26","118","11","129","169","295","498"
"MLAC","Mt. Lebanon Aqua","2","3","5","21","0","21","17","28","45"
"MMA","Munster Masters","4","12","16","52","5","57","2","73","75"
"NASH","Nashville Aquati","9","7","16","57","2","59","24","93","125"
"RVRAT","Nashville River","0","1","1","5","0","5","0","15","15"
"NAUT","Nautical Milers","0","1","1","6","0","6","0","8","8"
"NAM","New Albany Aquat","25","51","76","374","40","414","419","785","1,391"
"NEM","New England Mast","25","16","41","203","23","226","565","277","934"
"NMMS","New Mexico Maste","0","2","2","10","0","10","0","52","52"
"NYAC","New York Athleti","15","22","37","194","13","207","727","546","1,273"
"NIAG","Niagara District","0","1","1","3","0","3","0","16","16"
"NICK","Nickel City Spla","23","24","47","216","26","242","374","263","659"
"NITR","Nitro Swimming","0","1","1","6","0","6","0","45","45"
"NAST","Noblesville Adul","9","9","18","81","2","83","27","42","69"
"NORT","Nort'landers Swi","1","0","1","5","0","5","7","0","7"
"NBA","North Bay Aquati","1","0","1","4","0","4","0","0","0"
"NCMS","North Carolina M","22","31","53","255","27","282","508","488","1,090"
"NCLE","North Coast Aqua","2","1","3","12","0","12","6","0","6"
"NBKLT","Northbrook Lifet","2","1","3","5","0","5","12","0","12"
"NWAM","Northwest Arkans","0","1","1","3","0","3","0","0","0"
"NOVA","Novaquatics Mast","2","4","6","34","2","36","43","18","61"
"O*H*","O*H*I*O Masters","18","22","40","170","18","188","201","241","442"
"O2","O2 Performance A","1","0","1","6","0","6","44","0","44"
"OBMST","Oak Brook Park D","1","1","2","12","0","12","0","0","0"
"OCY","Ocean County YMC","1","0","1","4","0","4","25","0","25"
"OPA","Off Piste Aquati","0","1","1","6","0","6","0","25","25"
"OHSP","Ohio Splash","3","1","4","16","0","16","9","4","13"
"OKMS","Oklahoma Masters","0","1","1","1","0","1","0","0","0"
"RIPT","Orange County Ri","2","2","4","19","0","19","7","19","26"
"OREG","Oregon Masters","12","12","24","114","10","124","130","193","339"
"OCCM","Orinda Country C","1","0","1","6","0","6","32","0","32"
"PBM","Palm Beach Maste","6","15","21","95","9","104","125","236","369"
"PALM","Palmetto Masters","4","9","13","55","2","57","81","83","164"
"GMUP","Patriot Masters","0","3","3","17","0","17","0","36","36"
"PSK","Petaluma Salty K","0","1","1","5","0","5","0","0","0"
"PSFBG","Peterson Space F","1","0","1","5","0","5","3","0","3"
"FINSP","Philadelphia Fin","0","2","2","9","0","9","0","9","9"
"PAC","Phoenix Aquatic","4","4","8","43","2","45","20","23","43"
